Slot,Time,P_grid_kW,Price_Rs_per_kWh,Cost_Rs
0,00:00,0,5,0
1,00:15,0,5,0
2,00:30,0,5,0
3,00:45,0,5,0
4,01:00,0,5,0
5,01:15,0,5,0
6,01:30,0,5,0
7,01:45,0,5,0
8,02:00,0,5,0
9,02:15,0,5,0
10,02:30,0,5,0
11,02:45,0,5,0
12,03:00,0,5,0
13,03:15,0,5,0
14,03:30,0,5,0
15,03:45,0,5,0
16,04:00,0,5,0
17,04:15,0,5,0
18,04:30,0,5,0
19,04:45,0,5,0
20,05:00,0,5,0
21,05:15,0,5,0
22,05:30,0,5,0
23,05:45,0,5,0
24,06:00,11,5,13.75
25,06:15,18.2,5,22.75
26,06:30,0,5,0
27,06:45,10.5,5,13.125
28,07:00,18.8,5,23.5
29,07:15,5.1,5,6.375
30,07:30,2.09,5,2.6125
31,07:45,36.46,5,45.575
32,08:00,36.46,5,45.575
33,08:15,29.8,5,37.25
34,08:30,26,5,32.5
35,08:45,16.49,5,20.6125
36,09:00,36.73,5,45.9125
37,09:15,68.3,5,85.375
38,09:30,30.02,5,37.525
39,09:45,72.76,5,90.95
40,10:00,81.56,5,101.95
41,10:15,41.85,5,52.3125
42,10:30,76.06,5,95.075
43,10:45,106.26,5,132.825
44,11:00,112.8,5,141
45,11:15,120.06,5,150.075
46,11:30,89.9,5,112.375
47,11:45,83.32,5,104.15
48,12:00,98.38,5,122.975
49,12:15,161.36,5,201.7
50,12:30,118.58,5,148.225
51,12:45,123.58,5,154.475
52,13:00,132.38,5,165.475
53,13:15,176.49,5,220.613
54,13:30,86.94,5,108.675
55,13:45,148.92,5,186.15
56,14:00,116.54,5,145.675
57,14:15,221.86,5,277.325
58,14:30,135.62,5,169.525
59,14:45,196.6,5,245.75
60,15:00,165.16,5,206.45
61,15:15,157.94,5,197.425
62,15:30,163.18,5,203.975
63,15:45,157.41,5,196.762
64,16:00,178.46,5,223.075
65,16:15,118.97,5,148.713
66,16:30,157.76,5,197.2
67,16:45,165.69,5,207.113
68,17:00,118.88,20,594.4
69,17:15,148.13,20,740.65
70,17:30,199.89,20,999.45
71,17:45,99.12,20,495.6
72,18:00,96.82,20,484.1
73,18:15,139.52,20,697.6
74,18:30,146.08,20,730.4
75,18:45,179.88,20,899.4
76,19:00,168.7,20,843.5
77,19:15,127.32,20,636.6
78,19:30,109.51,20,547.55
79,19:45,220.52,20,1102.6
80,20:00,178.46,20,892.3
81,20:15,137.86,20,689.3
82,20:30,154.82,20,774.1
83,20:45,166.86,20,834.3
84,21:00,92.35,20,461.75
85,21:15,133.26,5,166.575
86,21:30,126.66,5,158.325
87,21:45,68.16,5,85.2
88,22:00,108.46,5,135.575
89,22:15,74.63,5,93.2875
90,22:30,71.5,5,89.375
91,22:45,83.3,5,104.125
92,23:00,103.23,5,129.037
93,23:15,34.53,5,43.1625
94,23:30,39.56,5,49.45
95,23:45,0,5,0
